NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006,Q025
160000440913,PE,19,F,2,536.8,654.6,650.5,648.4,820,5,G,B
160000440914,CE,27,M,1,606.3,724.3,597.7,729.9,760,4,N,B
160000440915,ES,18,F,1,403.9,593,588,576.8,640,4,C,A
160000440916,RJ,25,F,3,,,,,,4,C,B
160000440917,MG,30,M,1,,,,,,3,E,B
160000440918,MG,25,F,2,570.9,649.3,547,666.2,640,1,C,A
160000440919,DF,36,M,3,,,,,,2,C,B
160000440920,MG,29,M,3,626.2,651.5,644.1,549.3,680,5,E,B
160000440921,BA,21,F,2,,,,,,3,E,B
160000440922,ES,28,F,1,604.3,672.7,644.1,677.7,880,1,I,B
160000440923,SP,18,F,1,435.4,547.9,552,398.6,500,4,F,B
160000440924,SC,18,F,3,425.2,546.9,440.4,349.8,760,4,D,B
160000440925,AM,25,M,3,,,,,,4,C,B
160000440926,SP,25,M,1,,,,,,2,B,B
160000440927,PE,21,M,1,,,,,,4,E,B
160000440928,SP,22,F,2,,,,,,3,E,B
160000440929,SP,31,M,1,526.3,599,584,655.2,540,3,C,A
160000440930,PR,21,F,3,,,,,,6,K,B
160000440931,SP,37,M,1,,,,,,1,D,B
160000440932,SE,29,M,3,597.7,695.6,644.9,772.8,640,2,H,B
160000440933,SC,18,F,1,471.9,606.4,617.1,484.7,680,6,G,B
160000440934,MG,17,F,3,529.2,575.5,566.6,349.2,840,4,E,A
160000440935,ES,35,F,3,,,,,,3,C,B
160008493061,MG,19,F,1,465.8,512.9,576.1,488.2,460,6,E,B
160000440936,RJ,38,M,1,,,,,,5,H,B
160000440937,SP,24,F,3,434.6,580.4,538.3,431.6,540,3,D,A
160000440938,BA,33,F,3,,,,,,5,B,B
160000440939,PB,33,F,3,496.1,596.1,627.2,704.3,680,3,C,B
160000440940,PR,32,M,1,633,637.8,610.7,861.1,580,2,K,B
160000440941,ES,18,F,3,653.6,585.9,622.2,395,640,6,J,B
160000440942,MG,23,M,1,490.3,501.2,534.3,578.9,680,6,G,B
160000440943,MG,29,M,2,,,,,,3,E,A
160000440944,BA,15,F,2,497.5,517.8,502.9,416.2,480,4,B,B
160000440945,CE,21,M,3,615,507,553.1,600.4,620,4,M,B
160000440946,SP,22,F,3,516.1,611.9,620.8,734.6,880,5,F,B
160000440947,GO,42,M,3,460.5,539.1,497.9,474,460,3,E,B
160000440948,MG,20,M,2,602.8,667.9,640.4,379.5,620,3,G,B
160000440949,CE,22,M,1,489.8,598.9,,,,5,C,B
160000440950,CE,31,F,3,,,,,,5,C,B
160000440951,MG,23,F,4,401.8,464.6,436.9,523,380,4,H,B
160000440952,MG,20,M,1,614.9,588.4,451.8,723,820,6,Q,B
160000440953,MT,19,M,3,688.3,686.3,560,764.3,720,4,N,B
160000440954,BA,18,F,1,446.1,622.3,592.2,468.3,580,3,B,B
160000440955,PB,22,M,1,384.7,511.5,446.4,348.7,480,5,D,B
160000440956,CE,19,M,1,704.5,747.6,648.7,795.6,800,3,B,B
160000444314,RJ,24,F,3,548.2,649.8,632.4,458.3,880,3,D,A
160000444315,CE,19,F,3,,,,,,6,D,A
160000444316,MS,22,F,2,505.6,628.5,585.6,517.4,680,2,B,A
160000444317,SP,18,F,1,420.4,425.7,426.1,442.2,520,6,D,B
160000444318,SP,18,F,1,639.5,630.9,636.4,770.8,680,3,H,B
160000444319,PR,37,M,1,,,,,,5,G,B
160000444320,PE,19,M,0,533.1,580.1,560.9,666.5,540,3,D,B
160000444321,ES,19,F,3,417.1,567.6,515.9,415.3,560,3,B,B
160000444322,SE,16,M,1,628.3,599.6,582.2,535.5,720,4,L,B
160000444323,PR,30,M,1,429.6,532.9,475.1,580.5,320,5,F,B
160000444324,PR,26,M,3,550.3,498.9,506.7,538.1,520,4,D,B
160000444325,BA,18,M,1,615.6,638.2,594.9,652.7,760,4,B,B
160000444326,BA,16,M,2,391.9,526.2,429.5,411.6,540,4,C,B
160000444327,RJ,18,F,2,607,637.6,640.8,522.4,860,3,C,B
160000444328,BA,24,F,2,516.2,657.1,513.2,515.7,580,2,B,B
160000444329,RJ,23,M,0,696.5,727.7,677.3,796.5,920,3,C,B
160000444330,SP,22,M,1,428.9,571.5,534.1,457.2,560,6,D,B
160000444331,RS,19,M,1,,,,,,3,E,B
160000444332,MG,19,M,4,460.1,553.7,580.7,525.3,820,4,C,B
160000444333,SP,64,M,1,435,484.2,430.4,364.8,400,3,C,A
160000444334,PR,15,F,1,383.2,515.7,544.5,472,540,4,C,A
160000444335,RN,26,F,1,397.7,449.3,532.8,567.6,460,4,C,B
160000444336,PA,37,F,3,400.4,468.7,420.2,419.9,500,7,D,A
160000444337,MG,19,F,1,557.3,619.5,571,564,560,4,E,B
160000444338,MG,35,M,1,543.7,542.6,529.8,528.2,480,2,B,B
160000444339,GO,18,M,3,502.9,628.8,477.9,478.3,700,4,D,B
160000444341,BA,18,M,3,599,668.9,592.2,506.5,780,4,E,B
160000444340,SP,19,F,3,539.8,679.9,614.8,608.2,760,3,D,A
160000444342,BA,25,M,3,,,,,,4,B,A
160000444343,BA,16,M,2,420.4,449.9,464.5,487.2,500,4,C,B
160000444344,SP,23,M,1,520.2,648.9,621.6,530.6,560,6,G,B
160000444345,CE,25,M,1,452.6,663.7,582,598.3,520,3,D,B
160000444346,MG,22,M,3,533.7,587,461.1,703.2,580,6,F,B
160000444347,SP,19,F,1,442.7,460.4,549.6,445.1,640,4,H,B
160000444348,RS,19,F,1,610.5,610.2,674,635.6,500,4,L,B
160000444349,SP,20,F,1,,,,,,5,M,B
160000444350,SP,22,M,2,,,,,,2,C,B
160000444351,PA,19,F,3,377.3,553.5,526.5,538.1,600,5,B,A
160000444352,MG,19,F,1,505.7,544,557.9,535.5,620,3,C,B
160008493189,MT,18,F,1,436.8,583.2,503.7,645.7,880,5,E,B
160000444353,PR,24,F,1,474,592.7,564.9,548.5,600,4,H,B
160000444354,RS,26,M,1,482.4,428.2,,,,1,E,B
160000444355,BA,24,F,3,,,,,,4,F,A
160000444356,SC,39,F,2,425.4,633.8,585.8,653.6,680,3,E,B
160000444357,RO,22,M,1,659.9,689.7,626.6,870.1,800,6,H,B
160000444358,RS,27,M,1,568.8,538.6,602.9,636.3,620,3,D,B
160000444359,DF,30,M,2,474.2,520.6,539.4,475.3,560,3,D,B
160000444360,SP,16,M,3,389.7,572.9,541.9,486.5,480,4,D,B
160000444361,SP,25,M,1,505.1,528.4,561.9,536.6,480,4,F,B
